Name,Hash_Key,Offcd ,Wk_S,Wk_E,Jbt
巴音朝鲁,2108cb2967af5281b1c364c2c390515c705ca0bc,0000000049,2007.05,2010.07,浙江省委常委，宁波市委书记、市人大常委会主任
巴音朝鲁,2108cb2967af5281b1c364c2c390515c705ca0bc,0000000049,2010.07,2011.02,吉林省委副书记、省委党校校长
巴音朝鲁,2108cb2967af5281b1c364c2c390515c705ca0bc,0000000049,2011.02,2012.05,吉林省委副书记、省政协主席，省委党校校长
巴音朝鲁,2108cb2967af5281b1c364c2c390515c705ca0bc,0000000049,2012.05,2012.12,吉林省政协主席、党组书记
巴音朝鲁,2108cb2967af5281b1c364c2c390515c705ca0bc,0000000049,2012.12,2013.01,吉林省委副书记、省政协主席，副省长、代省长
巴音朝鲁,2108cb2967af5281b1c364c2c390515c705ca0bc,0000000049,2013.01,2014.08,吉林省委副书记、省长
巴音朝鲁,2108cb2967af5281b1c364c2c390515c705ca0bc,0000000049,2014.08,2014.09,吉林省委书记、省长
巴音朝鲁,2108cb2967af5281b1c364c2c390515c705ca0bc,0000000049,2014.09,2014.10,吉林省委书记
巴音朝鲁,2108cb2967af5281b1c364c2c390515c705ca0bc,0000000049,2014.10,,吉林省委书记、省人大常委会主任
白栋材,172618238f6f78fd024acf7a9f775789b8e62248,0000000051,1927.10,1934.00,参加革命工作，任清涧县第二高小团支书、区支
白栋材,172618238f6f78fd024acf7a9f775789b8e62248,0000000051,1934.00,1935.01,参加陕北游击队任经济员
白栋材,172618238f6f78fd024acf7a9f775789b8e62248,0000000051,1935.00,1936.00,任陕北省贸易局秘书、陕北省苏维埃主席团巡视员
白栋材,172618238f6f78fd024acf7a9f775789b8e62248,0000000051,1936.00,1938.00,在中共中央党校学习，任教员、班主任、区主任
白栋材,172618238f6f78fd024acf7a9f775789b8e62248,0000000051,1939.00,1940.00,任中共陕甘宁边区三边地委书记
白栋材,172618238f6f78fd024acf7a9f775789b8e62248,0000000051,1940.00,1942.00,任中共陕甘宁边区保安处地方部部长兼干部科科长、处长办公室主任
白栋材,172618238f6f78fd024acf7a9f775789b8e62248,0000000051,1942.00,1943.00,任中共西北局组织部党务指导科科长
白栋材,172618238f6f78fd024acf7a9f775789b8e62248,0000000051,1943.00,1944.02,任中共西北党校教务主任、副校长
白栋材,172618238f6f78fd024acf7a9f775789b8e62248,0000000051,1944.02,1945.09,任中共中央党校五部主任
白栋材,172618238f6f78fd024acf7a9f775789b8e62248,0000000051,1945.04,1945.06,作为陕甘宁边区代表出席中国共产党第七次全国代表大会
白栋材,172618238f6f78fd024acf7a9f775789b8e62248,0000000051,1949.02,1949.05,任吉林省南下干部大队党委委员、第三中队队长兼政治委员
白栋材,172618238f6f78fd024acf7a9f775789b8e62248,0000000051,1949.05,1953.11,任中共江西省南昌地委书记、江西军区南昌军分区政治委员，中共江西省委第三副书记兼南昌市委书记、南昌市市长
白栋材,172618238f6f78fd024acf7a9f775789b8e62248,0000000051,1953.11,1956.04,任中共江西省委第三副书记兼工业工作部部长
白栋材,172618238f6f78fd024acf7a9f775789b8e62248,0000000051,1956.04,1967.01,任中共江西省委书记处书记
白栋材,172618238f6f78fd024acf7a9f775789b8e62248,0000000051,1969.08,1970.04,先后任江西省冶金公司负责人、江西省重工业局革委会主任
白栋材,172618238f6f78fd024acf7a9f775789b8e62248,0000000051,1970.04,1972.04,任中共江西省委副书记、省革委会副主任
白栋材,172618238f6f78fd024acf7a9f775789b8e62248,0000000051,1972.04,1979.12,任中共江西省委书记、省革委会副主任
白栋材,172618238f6f78fd024acf7a9f775789b8e62248,0000000051,1979.12,1982.08,任中共江西省委常务书记、省长
白栋材,172618238f6f78fd024acf7a9f775789b8e62248,0000000051,1982.08,1985.06,任中共江西省委第一书记、江西省军区第一政治委员
白栋材,172618238f6f78fd024acf7a9f775789b8e62248,0000000051,1997.02,,离休
白恩培,ed87a9af8d6a5149024580851da79dc5c9d98e33,0000000052,1965.08,1970.08,在西北工业大学航海设备与自动控制系学习大学
白恩培,ed87a9af8d6a5149024580851da79dc5c9d98e33,0000000052,1970.08,1972.04,在陕西省军区独立师农场劳动锻炼
白恩培,ed87a9af8d6a5149024580851da79dc5c9d98e33,0000000052,1972.04,1974.11,任陕西省延安柴油机厂车间调度员、技术员
白恩培,ed87a9af8d6a5149024580851da79dc5c9d98e33,0000000052,1974.11,1981.12,任陕西省延安柴油机厂革委会副主任、副厂长
白恩培,ed87a9af8d6a5149024580851da79dc5c9d98e33,0000000052,1981.12,1983.02,任陕西省延安柴油机厂厂长、党委副书记
白恩培,ed87a9af8d6a5149024580851da79dc5c9d98e33,0000000052,1983.02,1983.09,任陕西省延安卷烟厂党委副书记、厂长
白恩培,ed87a9af8d6a5149024580851da79dc5c9d98e33,0000000052,1983.09,1985.07,任中共陕西省延安地委副书记
白恩培,ed87a9af8d6a5149024580851da79dc5c9d98e33,0000000052,1985.07,1990.05,任中共陕西省延安地委书记（其间：1987年9月一1988年7月在中央党校培训部学习）
白恩培,ed87a9af8d6a5149024580851da79dc5c9d98e33,0000000052,1990.05,1992.03,任中共内蒙古自治区委员会常委、组织部长
白恩培,ed87a9af8d6a5149024580851da79dc5c9d98e33,0000000052,1992.03,1993.08,任中共内蒙古自治区委员会副书记兼自治区党委组织部部长
白恩培,ed87a9af8d6a5149024580851da79dc5c9d98e33,0000000052,1993.08,1994.12,任内蒙古自治区党委副书记
白恩培,ed87a9af8d6a5149024580851da79dc5c9d98e33,0000000052,1994.12,1997.02,当选为第六届中共内蒙古自治区区委副书记
白恩培,ed87a9af8d6a5149024580851da79dc5c9d98e33,0000000052,1997.02,1997.04,任青海省省委副书记
白恩培,ed87a9af8d6a5149024580851da79dc5c9d98e33,0000000052,1997.04,,被中共中央任命为第八届中共青海省委常委、副书记
白恩培,ed87a9af8d6a5149024580851da79dc5c9d98e33,0000000052,1997.04,1998.01,在青海省人大八届常委会第二十九次会议上当选为青海省副省长、代省长
白恩培,ed87a9af8d6a5149024580851da79dc5c9d98e33,0000000052,1998.01,1998.04,任青海省省长
白恩培,ed87a9af8d6a5149024580851da79dc5c9d98e33,0000000052,1998.04,1999.06,任中共第九届青海省委副书记
白恩培,ed87a9af8d6a5149024580851da79dc5c9d98e33,0000000052,1999.06,2000.01,任中共青海省委书记
白恩培,ed87a9af8d6a5149024580851da79dc5c9d98e33,0000000052,2000.01,2001.10,任青海省人大常委会主任
白恩培,ed87a9af8d6a5149024580851da79dc5c9d98e33,0000000052,2001.10,2001.12,任云南省委书记
白恩培,ed87a9af8d6a5149024580851da79dc5c9d98e33,0000000052,2001.12,2003.01,在中共云南省七届一次会议上当选为中共云南省委书记
白恩培,ed87a9af8d6a5149024580851da79dc5c9d98e33,0000000052,2003.01,2006.11,在云南省第十届人民代表大会第一次会议上，当选为云南省人大常委会主任
白恩培,ed87a9af8d6a5149024580851da79dc5c9d98e33,0000000052,2006.11,2008.01,在中共云南省第八届委员会第一次全体会议上当选为省委书记
白恩培,ed87a9af8d6a5149024580851da79dc5c9d98e33,0000000052,2008.01,2011.08,在云南省第十一届人大一次会议上当选为云南省第十一届人民代表大会常务委员会主任
白恩培,ed87a9af8d6a5149024580851da79dc5c9d98e33,0000000052,2011.08,2014.09,被任命为第十一届全国人民代表大会环境与资源保护委员会副主任委员
白恩培,ed87a9af8d6a5149024580851da79dc5c9d98e33,0000000052,2014.09,  ,云南省第十二届人民代表大会常务委员会罢免白恩培的第十二届全国人民代表大会代表职务
白如冰,b989df458ece3efc2b1f8bea987b53c12890078d,0000000066,1925.00,  ,参加革命工作，高中文化
白如冰,b989df458ece3efc2b1f8bea987b53c12890078d,0000000066,1927.11,  ,加入中国共产主义青年团，1928年6月转为中国共产党党员
白如冰,b989df458ece3efc2b1f8bea987b53c12890078d,0000000066,1925.00,  ,在陕西省清涧县高杰村参加学生运动和宣传、组织农民协会，任清涧县大马家山小学教员、白家河村任小学教员兼做团的工作，后任清涧县袁家沟村党支部书记、东区区委代书记学生
白如冰,b989df458ece3efc2b1f8bea987b53c12890078d,0000000066,1929.02,  ,入陕西绥德省立第4师范学校学习，兼任学校党支部书记师范
白如冰,b989df458ece3efc2b1f8bea987b53c12890078d,0000000066,1931.00,  ,回乡，任清涧县解家沟村小学教员、特支书记、东区区委书记
白如冰,b989df458ece3efc2b1f8bea987b53c12890078d,0000000066,1933.00,  ,任中共安定县安定区委宣传部部长，中共清涧县清涧区委书记
白如冰,b989df458ece3efc2b1f8bea987b53c12890078d,0000000066,1933.12,  ,任中共清涧县委宣传部部长兼秘书长
白如冰,b989df458ece3efc2b1f8bea987b53c12890078d,0000000066,1934.03,  ,任中共陕北特委候补委员、特派员，中共横山县委书记、延长县委书记，中共西北工作委员会特派员兼延长县委书记，陕甘晋军区供给部代部长
白如冰,b989df458ece3efc2b1f8bea987b53c12890078d,0000000066,1935.11,  ,任中华苏维埃西北革命军事委员会供给部副部长兼后方供给部部长
白如冰,b989df458ece3efc2b1f8bea987b53c12890078d,0000000066,1936.00,1937.00,任中华苏维埃人民共和国中央革命军事委员会总供给部副部长
白如冰,b989df458ece3efc2b1f8bea987b53c12890078d,0000000066,1938.04,  ,改为中共陕甘宁边区蒙古工作委员会书记
白如冰,b989df458ece3efc2b1f8bea987b53c12890078d,0000000066,1938.05,  ,改中共绥蒙工作委员会书记、八路军绥蒙游击司令部政委
白如冰,b989df458ece3efc2b1f8bea987b53c12890078d,0000000066,1938.11,  ,任中共绥远省委书记兼省委蒙民部部长
白如冰,b989df458ece3efc2b1f8bea987b53c12890078d,0000000066,1940.04,  ,改晋绥区党委书记兼八路军120师绥察独立第2支队政委
白如冰,b989df458ece3efc2b1f8bea987b53c12890078d,0000000066,1945.00,  ,作为晋绥边区代表出席中共七大
白如冰,b989df458ece3efc2b1f8bea987b53c12890078d,0000000066,1950.04,1953.01,任西北军政委员会财政部部长
白如冰,b989df458ece3efc2b1f8bea987b53c12890078d,0000000066,1953.04,1953.10,任西北总工会主席
白如冰,b989df458ece3efc2b1f8bea987b53c12890078d,0000000066,1953.04,1954.12,任中共中央西北局职工工作委员会书记
白如冰,b989df458ece3efc2b1f8bea987b53c12890078d,0000000066,1953.12,1954.12,任西北财政经济委员会副主任、党组副书记
白如冰,b989df458ece3efc2b1f8bea987b53c12890078d,0000000066,1954.11,1958.03,任中央手工业管理局局长兼全国供销合作总社理事（1955年4月任中央手工业管理局党组书记）
白如冰,b989df458ece3efc2b1f8bea987b53c12890078d,0000000066,1954.12,  ,任全国手工业合作总社筹备委员会主任
白如冰,b989df458ece3efc2b1f8bea987b53c12890078d,0000000066,1955.04,1958.03,任全国手工业合作总社党组书记
白如冰,b989df458ece3efc2b1f8bea987b53c12890078d,0000000066,1957.12,1958.03,任全国手工业合作总社主任
白如冰,b989df458ece3efc2b1f8bea987b53c12890078d,0000000066,1958.03,  ,任中共陕西省委书记处书记（未到职）
白如冰,b989df458ece3efc2b1f8bea987b53c12890078d,0000000066,1958.06,1967.02,任中共山东省委书记处书记
白如冰,b989df458ece3efc2b1f8bea987b53c12890078d,0000000066,1958.06,1963.12,任山东省副省长（1959年2月－9月兼省计划委员会主任）
白如冰,b989df458ece3efc2b1f8bea987b53c12890078d,0000000066,1963.12,1967.01,任山东省省长
白如冰,b989df458ece3efc2b1f8bea987b53c12890078d,0000000066,1961.02,1966.00,冬任中共中央华东局委员
白如冰,b989df458ece3efc2b1f8bea987b53c12890078d,0000000066,1966.00,1970.00,文化大革命”中受受冲击
白如冰,b989df458ece3efc2b1f8bea987b53c12890078d,0000000066,1970.06,1974.11,任山东省革委会副主任
白如冰,b989df458ece3efc2b1f8bea987b53c12890078d,0000000066,1970.06,1971.04,任山东省革委会党的核心小组成员
白如冰,b989df458ece3efc2b1f8bea987b53c12890078d,0000000066,1971.04,1973.08,任中共山东省委副书记
白如冰,b989df458ece3efc2b1f8bea987b53c12890078d,0000000066,1973.08,1974.11,任中共山东省委第二书记
白如冰,b989df458ece3efc2b1f8bea987b53c12890078d,0000000066,1974.11,1982.12,任中共山东省委第一书记、山东省革委会主任（－1979年12月）
白如冰,b989df458ece3efc2b1f8bea987b53c12890078d,0000000066,1975.08,1980.01,兼任济南军区第1政委、军区党委第二书记
白如冰,b989df458ece3efc2b1f8bea987b53c12890078d,0000000066,1980.01,1982.10,兼任济南军区政委、军区党委第三书记
白如冰,b989df458ece3efc2b1f8bea987b53c12890078d,0000000066,1977.12,1979.06,兼任山东省政协主席
白如冰,b989df458ece3efc2b1f8bea987b53c12890078d,0000000066,1994.04,  ,在济南逝世，享年83岁
布赫,67382f7cc70b299dde4093c94016a6a3ecc90f04,0000000121,1939.00,1946.00,在延安陕北公学、延安民族学院、延安大学民族学院学习
布赫,67382f7cc70b299dde4093c94016a6a3ecc90f04,0000000121,1946.00,1954.00,任内蒙古自治运动联合会组织部干事，内蒙古自治学院中学部副主任兼政治部教员，内蒙古文工团副团长、党支部书记、团长
布赫,67382f7cc70b299dde4093c94016a6a3ecc90f04,0000000121,1954.00,1974.00,任内蒙古自治区文化局副局长、党组书记兼自治区文联主任，中苏友协内蒙古分会秘书长，自治区党委代常委，自治区文委党委代书记、主任
布赫,67382f7cc70b299dde4093c94016a6a3ecc90f04,0000000121,1974.00,1978.00,任中共包头市委书记、市革委会副主任，自治区党委宣传部副部长、部长
布赫,67382f7cc70b299dde4093c94016a6a3ecc90f04,0000000121,1978.00,1981.00,任内蒙古自治区党委常委，国家民委副主任，呼和浩特市委第一书记、市长、警备区第一政委
布赫,67382f7cc70b299dde4093c94016a6a3ecc90f04,0000000121,1982.00,1993.00,任中共内蒙古自治区委副书记
布赫,67382f7cc70b299dde4093c94016a6a3ecc90f04,0000000121,1983.00,1993.00,任内蒙古自治区人民政府主席
布赫,67382f7cc70b299dde4093c94016a6a3ecc90f04,0000000121,1993.03,  ,任第八届全国人大常委会副委员长
布赫,67382f7cc70b299dde4093c94016a6a3ecc90f04,0000000121,1998.03,  ,任第九届全国人大常委会副委员长
曹荻秋,ecf78ac48ab198381371d6fab83ebbab3a0046c0,0000000161,1930.00,  ,毕业于成都师范大学大学
曹荻秋,ecf78ac48ab198381371d6fab83ebbab3a0046c0,0000000161,1909.08,1976.03,名聪，字仲榜，号健民
曹荻秋,ecf78ac48ab198381371d6fab83ebbab3a0046c0,0000000161,1924.00,  ,考入资中中学考入
曹荻秋,ecf78ac48ab198381371d6fab83ebbab3a0046c0,0000000161,1926.00,1930.00,就读于成都高等师范学校历史系，参加进步学生运动，在党的培育下，成了“高师”及成都学运骨干
曹荻秋,ecf78ac48ab198381371d6fab83ebbab3a0046c0,0000000161,1929.09,  ,加入中国共产党，不久即担任成华县中心区委宣传部长、川西特委宣传干事等职务
曹荻秋,ecf78ac48ab198381371d6fab83ebbab3a0046c0,0000000161,1930.00,  ,被派往广汉任中共特委书记，同年任中共温江县工委书记
曹荻秋,ecf78ac48ab198381371d6fab83ebbab3a0046c0,0000000161,1930.10,  ,参加领导广汉起义，宣布广汉苏维埃政府成立，还代理主席，兼任第二纵队政治委员
曹荻秋,ecf78ac48ab198381371d6fab83ebbab3a0046c0,0000000161,1931.03,  ,到上海，任中国左翼文化界总同盟秘书
曹荻秋,ecf78ac48ab198381371d6fab83ebbab3a0046c0,0000000161,1932.03,  ,曹荻秋在昌平路英租界因叛徒出卖被捕，在狱中坚贞不屈
曹荻秋,ecf78ac48ab198381371d6fab83ebbab3a0046c0,0000000161,1937.08,  ,经党组织营救，被释放
曹荻秋,ecf78ac48ab198381371d6fab83ebbab3a0046c0,0000000161,1938.02,  ,在武汉参加沈钧儒领导的救国会工作，任联络部长
曹荻秋,ecf78ac48ab198381371d6fab83ebbab3a0046c0,0000000161,1939.10,  ,曹荻秋随刘少奇赴豫皖苏边区，参加中共豫皖苏边区党委工作，兼任中共皖北特委书记
曹荻秋,ecf78ac48ab198381371d6fab83ebbab3a0046c0,0000000161,1940.00,  ,历任盐阜行署主任、苏北行署副主任等职务
曹荻秋,ecf78ac48ab198381371d6fab83ebbab3a0046c0,0000000161,1942.00,  ,仅盐阜地区组织人民就达上万之众
曹荻秋,ecf78ac48ab198381371d6fab83ebbab3a0046c0,0000000161,1943.00,  ,日伪联兵2万余进行“扫荡”时，他深入到群众之中，与人民患难与共，坚持抗日，取得了反“扫荡”的胜利
曹荻秋,ecf78ac48ab198381371d6fab83ebbab3a0046c0,0000000161,1945.00,  ,先后任中共盐阜地委（华中五地委）书记，
曹荻秋,ecf78ac48ab198381371d6fab83ebbab3a0046c0,0000000161,1948.11,  ,任华中支前司令部政治委员
曹荻秋,ecf78ac48ab198381371d6fab83ebbab3a0046c0,0000000161,1949.02,  ,任华东支前司令部副司令员
曹荻秋,ecf78ac48ab198381371d6fab83ebbab3a0046c0,0000000161,1949.06,  ,任上海西南服务团团长随军南下
曹荻秋,ecf78ac48ab198381371d6fab83ebbab3a0046c0,0000000161,1949.11,  ,先后任中共重庆市委第三、第二、第一书记，中共四川省委第三书记，重庆市副市长、市长
曹荻秋,ecf78ac48ab198381371d6fab83ebbab3a0046c0,0000000161,1955.11,  ,调上海，先后任中共上海市委副书记、市委书记处书记，上海市常务副市长、市长
曹荻秋,ecf78ac48ab198381371d6fab83ebbab3a0046c0,0000000161,1976.03,  ,曹荻秋含冤辞世，终年67岁
曹荻秋,ecf78ac48ab198381371d6fab83ebbab3a0046c0,0000000161,1978.04,  ,“十月春雷”经中央批准，中共上海市委为曹荻秋平反昭雪，恢复了名誉
曹荻秋,ecf78ac48ab198381371d6fab83ebbab3a0046c0,0000000161,1962.00,  ,春节前夕，他亲自到南京与合肥请求支援，从而保证了上海人民在春节期间的猪肉和花生的供应
曹荻秋,ecf78ac48ab198381371d6fab83ebbab3a0046c0,0000000161,1960.00,  ,全市由家庭妇女办的托儿所达2100多个，入托儿童13万
曹荻秋,ecf78ac48ab198381371d6fab83ebbab3a0046c0,0000000161,1965.00,  ,他在协昌缝纫机厂蹲点，不仅在车间与工人一起劳动，而且主动与工人亲切谈心
曾绍山,42b8fb47d23d6d3b6a043798dc9c0c6f4f96d109,0000000209,1939.00,1941.00,国民革命军步兵第三八五旅参谋长
曾绍山,42b8fb47d23d6d3b6a043798dc9c0c6f4f96d109,0000000209,1945.00,1948.00,国民革命军第十八集团军晋冀鲁豫军区第三纵队副司令员
曾绍山,42b8fb47d23d6d3b6a043798dc9c0c6f4f96d109,0000000209,1945.00,1946.00,国民革命军第十八集团军晋冀鲁豫军区第三纵队参谋长
曾绍山,42b8fb47d23d6d3b6a043798dc9c0c6f4f96d109,0000000209,1946.00,1947.00,国民革命军第十八集团军晋冀鲁豫军区第三纵队参谋长
曾绍山,42b8fb47d23d6d3b6a043798dc9c0c6f4f96d109,0000000209,1948.00,1948.00,中国人民解放军晋冀鲁豫野战军第十三纵队司令员
曾绍山,42b8fb47d23d6d3b6a043798dc9c0c6f4f96d109,0000000209,1949.00,1950.00,中国人民解放军第十一军军长
曾绍山,42b8fb47d23d6d3b6a043798dc9c0c6f4f96d109,0000000209,1950.00,1950.00,中国人民解放军第三兵团副司令员
曾绍山,42b8fb47d23d6d3b6a043798dc9c0c6f4f96d109,0000000209,1950.00,1950.00,中国人民解放军川东军区副司令员
曾绍山,42b8fb47d23d6d3b6a043798dc9c0c6f4f96d109,0000000209,1951.00,1953.00,中国人民志愿军第十二军军长
曾绍山,42b8fb47d23d6d3b6a043798dc9c0c6f4f96d109,0000000209,1953.00,1955.00,中国人民志愿军第三兵团副司令员
曾绍山,42b8fb47d23d6d3b6a043798dc9c0c6f4f96d109,0000000209,1955.00,1959.00,中国人民解放军第三兵团司令员
曾绍山,42b8fb47d23d6d3b6a043798dc9c0c6f4f96d109,0000000209,1955.00,1965.00,中国人民解放军中将
曾绍山,42b8fb47d23d6d3b6a043798dc9c0c6f4f96d109,0000000209,1959.00,1959.00,中国人民解放军旅大警备区司令员
曾绍山,42b8fb47d23d6d3b6a043798dc9c0c6f4f96d109,0000000209,1959.00,1966.00,中国人民解放军沈阳军区副司令员
曾绍山,42b8fb47d23d6d3b6a043798dc9c0c6f4f96d109,0000000209,1959.00,1978.00,中国共产党沈阳军区委员会常务委员
曾绍山,42b8fb47d23d6d3b6a043798dc9c0c6f4f96d109,0000000209,1960.00,1964.00,中国共产党沈阳军区委员会副书记
曾绍山,42b8fb47d23d6d3b6a043798dc9c0c6f4f96d109,0000000209,1960.00,1961.00,中国共产党沈阳军区监察委员会副书记
曾绍山,42b8fb47d23d6d3b6a043798dc9c0c6f4f96d109,0000000209,1966.00,1975.00,中国人民解放军沈阳军区第二政治委员
曾绍山,42b8fb47d23d6d3b6a043798dc9c0c6f4f96d109,0000000209,1967.00,1968.00,中国共产党沈阳军区委员会第三书记
曾绍山,42b8fb47d23d6d3b6a043798dc9c0c6f4f96d109,0000000209,1968.00,1978.00,中国共产党沈阳军区委员会第二书记
曾绍山,42b8fb47d23d6d3b6a043798dc9c0c6f4f96d109,0000000209,1969.00,1982.00,中国共产党中央委员会委员
曾绍山,42b8fb47d23d6d3b6a043798dc9c0c6f4f96d109,0000000209,1969.00,1982.00,中国共产党中央军事委员会委员
曾绍山,42b8fb47d23d6d3b6a043798dc9c0c6f4f96d109,0000000209,1971.00,1975.00,中国共产党辽宁省委员会第二书记
曾绍山,42b8fb47d23d6d3b6a043798dc9c0c6f4f96d109,0000000209,1975.00,1988.00,中华人民共和国全国人民代表大会代表
曾绍山,42b8fb47d23d6d3b6a043798dc9c0c6f4f96d109,0000000209,1975.00,1980.00,中国人民解放军沈阳军区政治委员
曾绍山,42b8fb47d23d6d3b6a043798dc9c0c6f4f96d109,0000000209,1975.00,1978.00,辽宁省革命委员会主任
曾绍山,42b8fb47d23d6d3b6a043798dc9c0c6f4f96d109,0000000209,1975.00,1978.00,中国共产党辽宁省委员会第一书记
曾绍山,42b8fb47d23d6d3b6a043798dc9c0c6f4f96d109,0000000209,1980.00,1983.00,中国人民解放军济南军区顾问
