Name,Offcd,Degree,School,Major,Edu_S,Edu_E
官员姓名,官员代码,学历/学位,毕业学校,专业,教育起始时间,教育终止时间
姜异康,0000010834,进修,中央党校,,2005.11,2006.01
蒋民宽,0000010860,大专,上海工业专科学校,机械系,1947.00,1950.00
蒋民宽,0000010860,学习,东北工业部抚顺俄语训练班,,1952.00,1955.00
蒋民宽,0000010860,进修,中央党校,,1987.09,1988.02
解峰,0000010905,学习,晋察冀边区抗战学院,,,
金明,0000010931,,,,,
李葆华,0000011162,学习,北京孔德学校,,1921.00,
李葆华,0000011162,学习,日本东京高等师范学校,,,
李昌安,0000011173,学习,北京机械学院业余大学,机械制造,1958.00,1964.00
李春亭,0000011203,学习,中央党校,,1980.00,1982.00
李尔重,0000011233,学习,北平大学,,,
李尔重,0000011233,学习,北京大学,,,
李尔重,0000011233,学习,日本仙台帝国大学,,,
李范五,0000011237,学习,哈尔滨第一中学,,,
李范五,0000011237,学习,北平大学,,,
李范五,0000011237,学习,苏联莫斯科共产国际东方殖民地问题研究院,,,
李丰平,0000011240,学习,延安中央党校,,,
李耕涛,0000011261,副博士,苏联莫斯科动力学院,燃气轮机,1952.00,1956.00
李梦龄,0000011434,学习,北平师范大学,历史系,,1931.00
李其炎,0000011460,学习,北京师范学院,历史系,,1963.00
李启明,0000011465,学习,山西医专预科,,,
李启明,0000011465,学习,汾阳军官学校,,,
李启明,0000011465,学习,杨虎城创办的军官学校,,1934.00,
李盛霖,0000011511,学习,江苏镇江农业机械学院,农机专业,1965.07,1970.08
李盛霖,0000011511,学习,中央党校,,1997.03,1997.05 
李锡铭,0000011593,学习,清华大学,,1946.00,
李子奇,0000011774,学习,莫斯科有色冶金矿业学院,,1954.00,
栗又文,0000011792,学习,北京大学,,,1962.00
栗又文,0000011792,学习,中央马列学院,,1939.02,
廖伯康,0000011891,学习,中央大学,经济系,,
林李明,0000011967,,,,,
令狐安,0000012057,学习,北京工业学院,红外线,1965.08,1970.08 
令狐安,0000012057,学习,中国工业科技管理大连培训中心,,1982.05,1982.10
令狐安,0000012057,学习,中央党校,,1987.09,1988.07
令狐安,0000012057,学习,中央党校,,1997.03,1997.05
令狐安,0000012057,学习,中央党校,,2003.03,2003.05
刘秉彦,0000012071,,,,,
刘剑峰,0000012192,本科,苏联基辅工学院,无线电工程,,1961.00
刘田夫,0000012333,,,,,
刘锡五,0000012365,学习,北京新京学院,,1924.08,
刘锡五,0000012365,学习,上海大学,,1925.00,
刘正,0000012502,,,,,
刘正,0000012502,,,,,
罗贵波,0000012704,肄业,赣州胜利师范学校,,,1924.07
吕祖善,0000012839,本科,南京航空学院（现南京航空航天大学）,动机设计,1963.09,1968.09
吕祖善,0000012839,研究生,中央党校,,1997.03,1997.06
倪献策,0000013193,,青岛市建筑工程学校,,,
倪志福,0000013198,学习,上海青工政治文化学习班,,,
倪志福,0000013198,大专,国营六一八厂,,1961.04,1965.05
聂荣臻,0000013205,,,,,
裴丽生,0000013320,,清华大学,经济,1929.00,1933.05
强晓初,0000013453,,,,,
饶漱石,0000013568,本科,上海大学,,1924.00,
芮杏文,0000013633,大专,中国人民大学,企业管理,,
芮杏文,0000013633,专修,中国人民大学,,1950.00,1951.00
芮杏文,0000013633,学习,苏北公学、华中建设大学、山东大学,政治,1944.00,1946.00
沙文汉,0000013658,学习,上海东亚同文书院,,1928.01,
沙文汉,0000013658,深造,莫斯科列宁学院,马克思列宁主义理论,1929.07,
沙文汉,0000013658,,日本铁道学校,,1932.02,
邵式平,0000013692,学习,抗日军政大学,,1936.10,
邵式平,0000013692,学习,延安中央党校,,1942.00,
舒惠国,0000013854,,,,,
舒同,0000013855,,江西省立第三师范学校,,1921.00,
宋德福,0000013891,,吉林省德惠第一小学、德惠县第四中学,,1953.00,1962.00
宋德福,0000013891,大专,,,,
宋任穷,0000013917,,,,,
宋瑞祥,0000013920,,,,,
孙君一,0000014067,,北平朝阳大学,,,
孙治国,0000014167,,,,,
覃应机,0000014201,学习,国家保卫局,,,
覃应机,0000014201,学习,中共中央平原分局党校,,,
谭绍文,0000014223,,成都铭贤学院、西北工学院,,1948.00,
陶鲁笳,0000014323,,江苏溧阳私立同济中学、江苏省立常州中学（今常州高级中学）、上海复旦实验中学,,,
陶鲁笳,0000014323,,南京中央大学,,,
天宝,0000014342,学习,中共中央党校,,1937.00,
铁木尔·达瓦买提,0000014396,研究生,中央民族学院,政治,1955.00,1957.00
万绍芬,0000014435,学习,江西国立中正大学,经济,1948.00,1949.00
万绍芬,0000014435,学习,中央团校,,1950.00,
万学远,0000014438,本科,上海交通大学,船舶燃气轮机,,1964.00
王东明,0000014562,本科,辽宁大学,哲学,1978.03,1982.02
王东明,0000014562,培训,辽宁省委党校青训班,,1982.02,1982.06
王东明,0000014562,培训,中央党校一年制中青年干部培训班,,1996.09,1997.07
王东明,0000014562,研究生,中央党校,法学,1996.09,1999.07
王岐山,0000014801,大专, 西北大学,历史,1973.00,1976.00
王岐山,0000014801,培训,中央党校省部级干部进修班,,1992.09,1992.11
王森浩,0000014833,大专,北京矿业学院,采矿系,1956.00,
王森浩,0000014833,进修,北京俄语学院留苏预备部,,1956.00,1957.00
王世英,0000014867,,太原国民师范学校,,,
王世英,0000014867,,黄埔陆军军官学校,,1925.08,
王首道,0000014876,,第六届广州农民运动讲习所,,,
王旭东,0000014996,本科,江苏省无锡市无线电工业学校,机械专业,1962.09,1966.07
王旭东,0000014996,学习,中央党校、天津市科学技术进修学院,工业科技管理,1980.02,1982.07
王郁昭,0000015081,学习,中共中央马列主义学院、中共中央高级党校,,1954.02,
吴邦国,0000015313,本科,清华大学,电真空器件,1960.00,1967.00
谢非,0000015705,学习,中共广东省委党校中级班,,1959.00,1960.00
谢伏瞻,0000015707,本科,华中工学院,计算机系,1976.12,1980.01
谢伏瞻,0000015707,研究生,机械工业部机械科学研究院,工业自动化,1983.08,1986.09
谢伏瞻,0000015707,访问学者,美国普林斯顿大学,,1991.10,1992.10
谢伏瞻,0000015707,培训,中央党校省部级干部进修班,,2001.09,2001.11
谢伏瞻,0000015707,培训,清华大学、哈佛大学公共管理高级培训班,,2003.07,2003.09
谢世杰,0000015737,大专,西南农学院,土壤肥料,1958.00,1959.00
邢崇智,0000015769,初中,中央团校,,1949.00,
徐匡迪,0000015861,大专,北京钢铁工业学院,钢铁冶金,1954.00,1959.00
徐匡迪,0000015861,访问学者,英国帝国理工大学,,1982.03,1983.02
徐荣凯,0000015889,本科,清华大学,动力机械系燃汽轮机,1960.09,1966.09
徐荣凯,0000015889,学习,中央党校,,1989.02,1989.07
徐荣凯,0000015889,博士,清华大学,技术经济,1993.09,1998.07
徐有芳,0000015922,本科,安徽农学院,林学系,1959.09,1963.08
许世杰,0000015983,,,,,
杨汝岱,0000016285,高中,,,,
杨尚奎,0000016292,学习,瑞金中央党校,,1934.05,
杨尚奎,0000016292,学习,中央马列学院,,1940.01,1941.06
杨尚奎,0000016292,学习,中央党校1部,,1942.09,
杨植霖,0000016412,学习,北平新农业学院,,1929.00,
杨植霖,0000016412,学习,延安中央党校,,1942.00,
尹克升,0000016558,本科,北京石油学院,油田开采,1960.00,1964.00
尹克升,0000016558,学习,华北人民革命大学,,1949.00,
尹克升,0000016558,学习,石油干部学校,,1960.00,1964.00
尤权,0000016581,本科,中国人民大学,国民经济计划,1980.09,
尤权,0000016581,研究生,中国人民大学,国民经济计划,,1987.07
于汉卿,0000016616,学习,五七干校,,1973.00,
于克,0000016623,学习,北平中山中学,,1934.00,
云布龙,0000016806,本科,太原工学院,机械系,,1962.00
张国声,0000016964,,,,,
张皓若,0000016977,学习,清华大学,石油专业,1949.09,1952.00
张皓若,0000016977,学习,石油部俄文训练班,,1953.00,
张皓若,0000016977,学习,苏联进修,,1954.06,
张启龙,0000017159,,,,,
张体学,0000017251,学习,瓦窑堡红军大学,,1936.05,
张中伟,0000017466,学习,中央党校,,1981.09,1982.07
张中伟,0000017466,大专,高等教育自学考试党政干部管理基础科专业,党政干部管理基础,1984.00,1986.00
赵德尊,0000017525,学习,延安中央党校,,1943.00,
赵德尊,0000017525,学习,清华大学,外语系,,1937.00
赵洪祝,0000017552,学习,中央党校,,1982.00,1983.00
赵洪祝,0000017552,本科,中央党校,,1983.00,1985.00
赵洪祝,0000017552,学习,中央党校,,1989.03,1989.07
赵健民,0000017564,,,,,
赵林,0000017586,,,,,
周持衡,0000017884,肄业,山东大学,,,
周建人,0000017929,学习,北京大学,,1920.00,
周小舟,0000017997,,长沙私立明德中学,,1925.00,
周小舟,0000017997,预科,湖南大学,,1929.00,1931.00
周小舟,0000017997,本科,国立北平师范大学,,1931.00,1935.00
朱厚泽,0000018076,,,,,
张学忠,0000018247,大专,甘肃省兰州市师范学校,,1958.08,1961.07
张学忠,0000018247,本科,兰州大学,汉语言文学,1964.09,1966.06
于明涛,0000018350,,,,,
